"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Aciclovir|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Muscle|Intracellular|Aciclovir|Concentration [µmol/l]"
1,267,8.943535,7.440504
1,270,8.861911,7.371608
1,273,8.781048,7.30335
1,276,8.700938,7.235724
1,279,8.621574,7.168726
1,282,8.542952,7.102349
1,285,8.46506,7.036588
1,288,8.387894,6.971442
1,291,8.311445,6.906903
1,294,8.235709,6.842966
1,297,8.160677,6.779625
1,300,8.086342,6.716876
1,303,8.012699,6.654713
1,306,7.939741,6.593132
1,309,7.86746,6.532128
1,312,7.795851,6.471695
1,315,7.724908,6.411828
1,318,7.654623,6.352522
1,321,7.584991,6.293773
1,324,7.516006,6.235575
1,327,7.44766,6.177924
1,330,7.379949,6.120813
1,333,7.312866,6.064239
1,336,7.246405,6.008196
1,339,7.180561,5.95268
1,342,7.115326,5.897686
1,345,7.050697,5.84321
1,348,6.986666,5.789245
1,351,6.923229,5.735788
1,354,6.860379,5.682833
1,357,6.798111,5.630376
1,360,6.736421,5.578412
1,363,6.675301,5.526935
1,366,6.614747,5.475943
1,369,6.554753,5.425432
1,372,6.495314,5.375396
1,375,6.436424,5.32583
1,378,6.37808,5.27673
1,381,6.320275,5.228092
1,384,6.263004,5.17991
1,387,6.206263,5.132181
1,390,6.150047,5.084899
1,393,6.09435,5.038061
1,396,6.039167,4.991665
1,399,5.984494,4.945705
1,402,5.930325,4.900177
1,405,5.876657,4.855076
1,408,5.823483,4.810399
1,411,5.770801,4.766141
1,414,5.718605,4.722298
1,417,5.666891,4.678867
1,420,5.615654,4.635843
1,423,5.564889,4.593223
1,426,5.514592,4.551003
1,429,5.464758,4.50918
1,432,5.415383,4.467748
1,435,5.366464,4.426705
1,438,5.317995,4.386048
1,441,5.269973,4.345771
1,444,5.222393,4.305872
1,447,5.175251,4.266347
1,450,5.128543,4.227193
1,453,5.082264,4.188406
1,456,5.036412,4.149981
1,459,4.990981,4.111917
1,462,4.945968,4.07421
1,465,4.901369,4.036855
1,468,4.857179,3.999851
1,471,4.813396,3.963193
1,474,4.770016,3.926878
1,477,4.727034,3.890903
1,480,4.684447,3.855265
1,483,4.642251,3.81996
